RI,Spacing,Accuracy
35,0.00256,0.5229551451
35,1,0.6907651715
35,4,0.7382585752
35,7,0.8047493404
35,11,0.8221635884
35,21,0.7588390501
35,105,0.598944591
7,0.00256,0.8870712401
7,1,0.9788918206
7,2,0.9567282322
7,7,0.9472295515
7,21,0.9440633245
7,105,0.8094986807
350,0.00256,0.1255936675
350,1,0.127176781
350,7,0.1477572559
350,21,0.2253298153
350,35,0.1984168865
350,70,0.2047493404
350,105,0.1366754617
70,0.00256,0.2949868074
70,1,0.4200527704
70,7,0.6084432718
70,14,0.5150395778
70,21,0.6116094987
70,105,0.4216358839